;Country;Days;CumConfirmed;CumConfirmed_per_million;CumDeaths;CumRecovered;smoothed_cumulative_testing_count;SmoothedCumTesting_per_thousand;Population;Pop_Density;Land_Area_Kmsq;HealthCapacityScore;RecoveryRate;FatalityRate;Active;Population Interval;Health Capacity Score Interval
151;Slovakia;217;0.027059068947243622;0.8489689238790686;0.0028455474180155804;0.010136582032765533;0.04598810770573946;0.7119556538926758;0.03769713945282508;0.04252895386367951;0.029362755481527027;618.798.955.613.577;3.1;0.0;0.0325092814493969;1-10m;35 to 50
152;Slovenia;219;0.011440891534388107;0.9428685055090326;0.007883565797453002;0.008281593868034334;0.021616361489846248;0.8788456893249258;0.014208444581918105;0.03835200303778241;0.012297222381152344;6.018.276.762.402.080;58.999.999.999.999.900;0.6896551724137931;0.007753495153108447;1-10m;35 to 50
153;Solomon_Islands;286;0.0;0.0;0.0;0.0;0.0;0.0;0.004536633133821632;0.008733624454148471;0.01709056841084825;26.501.305.483.028.700;0.0;0.0;2,25E+09;< 1m;20 to 35
154;Somalia;188;0.005003932401563631;0.053348708201794784;0.004618183514484303;0.004901675312963797;0.0;0.0;0.11018830609480192;0.008733624454148471;0.3830640643214524;0.1305483028720627;8.0;10.344.827.586.206.800;0.0015200723869730473;10-50m; less than 10
155;South_Africa;216;0.8983717136589733;25.957.508.794.053.000;0.8332789102952838;0.9912190350665757;0.36447149868248346;0.5194177786793577;0.41183337189459573;0.017846971710651225;0.7407331645627746;6.801.566.579.634.460;9.0;10.344.827.586.206.800;0.11448059239135086;50-100m;50 to 65
156;South_Sudan;169;0.0036227330385219868;0.05486758241305007;0.002565657508046835;0.0020469929277187756;0.0;0.0;0.07753680774423863;0.006075564837668502;0.3730572675399675;34.725.848.563.968.600;46.000.000.000.000.000;0.6896551724137931;0.0032698446013109104;10-50m;20 to 35
157;Spain;226;10.991.574.165.611.700;4.029.001.404.265.860;1.524.840.229.509.720;0.2386190763555338;0.8942257437385794;16.165.633.942.142.500;0.3246104122967671;0.034934497816593885;0.30457531290016426;556.135.770.234.987;17.999.999.999.999.900;13.793.103.448.275.800;14.981.360.534.597.000;10-50m;35 to 50
158;Sri_Lanka;213;0.006273702922933998;0.049593718892466165;0.0006064281382656155;0.0052634694118164176;0.028239579476966065;0.11146723204506927;0.14854074093741695;0.12872602999810137;0.03829120206066251;13.054.830.287.206.200;6.800.000.000.000.000;0.0;0.0034072141059114376;10-50m;10 to 20
159;Sudan;194;0.01773662108881526;0.06869659865212906;0.03899799412231189;0.01073322493262775;0.0;0.0;0.30442324839719825;0.008733624454148471;10.777.682.840.352.400;0.2872062663185379;4.9;20.689.655.172.413.700;0.013714430869134604;10-50m; less than 10
160;Suriname;197;0.006583371448043711;19.237.106.912.228.900;0.005038018379437421;0.007753184065762742;0.0;0.0;0.00384009518249606;0.0007594456047085627;0.09525569264796588;14.360.313.315.926.800;9.6;0.6896551724137931;0.00019817240007944913;< 1m;10 to 20
